target_id,retailer,country,iso_country,laptop_url,discovery_method,discovery_status,http_reachable,http_status,http_crawlable,http_failure_reason,playwright_reachable,playwright_status,playwright_crawlable,playwright_failure_reason,firecrawl_reachable,firecrawl_status,firecrawl_crawlable,firecrawl_failure_reason,final_status,successful_strategy,final_failure_reason,evidence_path
amazon-mx,Amazon,Mexico,MX,https://www.amazon.com.mx/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,200,False,CAPTCHA_PAGE,NOT_CRAWLABLE,NONE,CAPTCHA_PAGE,evidence/amazon/MEXICO/amazon-mx/
amazon-br,Amazon,Brazil,BR,https://www.amazon.com.br/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,500,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/amazon/BRAZIL/amazon-br/
bestbuy-us,Bestbuy,United States,US,https://www.bestbuy.com/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_RESET,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/bestbuy/UNITED STATES/bestbuy-us/
bestbuy-ca,Bestbuy,Canada,CA,https://www.bestbuy.ca/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/bestbuy/CANADA/bestbuy-ca/
boulanger-fr,Boulanger,France,FR,https://www.boulanger.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,400,False,PRODUCT_CONTENT_NOT_DETECTED,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/boulanger/FRANCE/boulanger-fr/
costco-us,Costco,United States,US,https://www.costco.com/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/costco/UNITED STATES/costco-us/
coupang-kr,Coupang,South Korea,KR,https://www.coupang.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_TIMEOUT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/coupang/SOUTH KOREA/coupang-kr/
currys-gb,Currys,United Kingdom,GB,https://www.currys.co.uk/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/currys/UNITED KINGDOM/currys-gb/
dell-global,Dell,Global,US,https://www.dell.com/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,False,0,False,CONNECTION_TIMEOUT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/dell/GLOBAL/dell-global/
elkjop-dk,Elkjop,Denmark,DK,https://www.elgiganten.dk/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/elkjop/DENMARK/elkjop-dk/
elkjop-no,Elkjop,Norway,NO,https://www.elkjop.no/product/sku_0011,configured_seed,SUCCESS,False,0,False,CONNECTION_TIMEOUT,True,429,False,BOT_CHALLENGE_PAGE,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/elkjop/NORWAY/elkjop-no/
elkjop-se,Elkjop,Sweden,SE,https://www.elgiganten.se/product/sku_0011,configured_seed,SUCCESS,True,429,False,BOT_CHALLENGE_PAGE,True,429,False,BOT_CHALLENGE_PAGE,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/elkjop/SWEDEN/elkjop-se/
euronics-it,Euronics,Italy,IT,https://www.euronics.it/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_TIMEOUT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/euronics/ITALY/euronics-it/
expert-de,Expert,Germany,DE,https://www.expert.de/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,False,0,False,CONNECTION_RESET,True,403,False,CLOUDFLARE_WAF_BLOCK,NOT_CRAWLABLE,NONE,CLOUDFLARE_WAF_BLOCK,evidence/expert/GERMANY/expert-de/
flipkart-in,Flipkart,India,IN,https://www.flipkart.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/flipkart/INDIA/flipkart-in/
fnac-fr,Fnac,France,FR,https://www.fnac.com/product/sku_0011,configured_seed,SUCCESS,True,403,False,AKAMAI_BOT_MANAGER_BLOCK,False,0,False,CONNECTION_TIMEOUT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/fnac/FRANCE/fnac-fr/
gmarket-kr,Gmarket,South Korea,KR,https://www.gmarket.co.kr/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_BLOCK,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/gmarket/SOUTH KOREA/gmarket-kr/
hp-global,Hp,Global,US,https://www.hp.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/hp/GLOBAL/hp-global/
jbhifi-au,Jbhifi,Australia,AU,https://www.jbhifi.com.au/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/jbhifi/AUSTRALIA/jbhifi-au/
jd-cn,Jd,China,CN,https://www.jd.com/product/sku_0011,configured_seed,SUCCESS,True,200,False,PRODUCT_PAGE_NOT_PRESENT,True,200,False,PRODUCT_PAGE_NOT_PRESENT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/jd/CHINA/jd-cn/
komputronik-pl,Komputronik,Poland,PL,https://www.komputronik.pl/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/komputronik/POLAND/komputronik-pl/
lenovo-global,Lenovo,Global,US,https://www.lenovo.com/product/sku_0011,configured_seed,SUCCESS,True,503,False,AKAMAI_BOT_MANAGER_BLOCK,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/lenovo/GLOBAL/lenovo-global/
magazineluiza-br,Magazineluiza,Brazil,BR,https://www.magazineluiza.com.br/product/sku_0011,configured_seed,SUCCESS,True,200,False,AKAMAI_BOT_MANAGER_BLOCK,True,403,False,AKAMAI_BOT_MANAGER_BLOCK,True,403,False,AKAMAI_BOT_MANAGER_BLOCK,NOT_CRAWLABLE,NONE,AKAMAI_BOT_MANAGER_BLOCK,evidence/magazineluiza/BRAZIL/magazineluiza-br/
mediamarkt-de,Mediamarkt,Germany,DE,https://www.mediamarkt.de/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,NOT_CRAWLABLE,NONE,CLOUDFLARE_TURNSTILE_CHALLENGE,evidence/mediamarkt/GERMANY/mediamarkt-de/
mediamarkt-es,Mediamarkt,Spain,ES,https://www.mediamarkt.es/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,NOT_CRAWLABLE,NONE,CLOUDFLARE_TURNSTILE_CHALLENGE,evidence/mediamarkt/SPAIN/mediamarkt-es/
mediamarkt-it,Mediamarkt,Italy,IT,https://www.mediaworld.it/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,False,0,False,CONNECTION_RESET,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,NOT_CRAWLABLE,NONE,CLOUDFLARE_TURNSTILE_CHALLENGE,evidence/mediamarkt/ITALY/mediamarkt-it/
mediamarkt-tr,Mediamarkt,Turkey,TR,https://www.mediamarkt.com.tr/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,False,0,False,CONNECTION_RESET,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,NOT_CRAWLABLE,NONE,CLOUDFLARE_TURNSTILE_CHALLENGE,evidence/mediamarkt/TURKEY/mediamarkt-tr/
mercadolibre-mx,Mercadolibre,Mexico,MX,https://www.mercadolibre.com.mx/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/mercadolibre/MEXICO/mercadolibre-mx/
mercadolibre-cl,Mercadolibre,Chile,CL,https://www.mercadolibre.cl/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/mercadolibre/CHILE/mercadolibre-cl/
mercadolibre-co,Mercadolibre,Colombia,CO,https://www.mercadolibre.com.co/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/mercadolibre/COLOMBIA/mercadolibre-co/
mercadolivre-br,Mercadolibre,Brazil,BR,https://www.mercadolivre.com.br/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/mercadolibre/BRAZIL/mercadolivre-br/
thegioididong-vn,Thegioididong,Vietnam,VN,https://www.thegioididong.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/thegioididong/VIETNAM/thegioididong-vn/
monsternotebook-tr,Monsternotebook,Turkey,TR,https://www.monsternotebook.com.tr/product/sku_0010,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,NOT_CRAWLABLE,NONE,CLOUDFLARE_TURNSTILE_CHALLENGE,evidence/monsternotebook/TURKEY/monsternotebook-tr/
newegg-us,Newegg,United States,US,https://www.newegg.com/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_BLOCK,True,403,False,CLOUDFLARE_TURNSTILE_CHALLENGE,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/newegg/UNITED STATES/newegg-us/
officeworks-au,Officeworks,Australia,AU,https://www.officeworks.com.au/product/sku_0011,configured_seed,SUCCESS,True,405,False,CAPTCHA_PAGE,True,405,False,CAPTCHA_PAGE,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/officeworks/AUSTRALIA/officeworks-au/
reliancedigital-in,Reliancedigital,India,IN,https://www.reliancedigital.in/product/sku_0011,configured_seed,SUCCESS,True,200,False,AKAMAI_BOT_MANAGER_CHALLENGE,True,200,False,AKAMAI_BOT_MANAGER_BLOCK,True,200,False,AKAMAI_BOT_MANAGER_BLOCK,NOT_CRAWLABLE,NONE,AKAMAI_BOT_MANAGER_BLOCK,evidence/reliancedigital/INDIA/reliancedigital-in/
staples-us,Staples,United States,US,https://www.staples.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/staples/UNITED STATES/staples-us/
terg-pl,Terg,Poland,PL,https://www.mediaexpert.pl/product/sku_0011,configured_seed,SUCCESS,True,403,False,CLOUDFLARE_WAF_CHALLENGE,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/terg/POLAND/terg-pl/
tmall-cn,Tmall,China,CN,https://www.tmall.com/product/sku_0011,configured_seed,SUCCESS,True,200,True,NONE,True,200,True,NONE,True,500,False,EMPTY_RESPONSE,CRAWLABLE,HTTP,NONE,evidence/tmall/CHINA/tmall-cn/
unieuro-it,Unieuro,Italy,IT,https://www.unieuro.it/product/sku_0011,configured_seed,SUCCESS,True,200,False,GOOGLE_RECAPTCHA_CHALLENGE,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/unieuro/ITALY/unieuro-it/
walmart-us,Walmart,United States,US,https://www.walmart.com/product/sku_0011,configured_seed,SUCCESS,True,200,False,AKAMAI_BOT_MANAGER_CHALLENGE,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/walmart/UNITED STATES/walmart-us/
yodobashi-jp,Yodobashi,Japan,JP,https://www.yodobashi.com/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/yodobashi/JAPAN/yodobashi-jp/
