retailer,country,country_iso,account,site_type,product_id,product_title,product_description,oem,model_and_series,processor_brand,processor_series,processor_model,processor_number,processor_generation,graphics_card,form_factor,screen_size,screen_type,ram_gb,storage_gb,storage_type,operating_system,original_price_local,selling_price_local,usd_original_price,usd_selling_price,discount_amount_local,discount_pct,currency,price_history,availability,product_url,feed_timestamp,feed_date
Best Buy - US,United States,US,Best Buy - US,1P Retailer,,ASUS ROG Strix SCAR 18 - AMD Ryzen 7 7840HS (Laptop),,ASUS,ROG Strix SCAR 18,AMD,AMD Ryzen 7,AMD Ryzen 7,7840HS,Zen 4 / Phoenix,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1116,1116,1116,1116,0,0,USD,,InStock,https://www.bestbuy.com/products/asus-rog-strix-scar-18-amd-ryzen-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0012,Acer TravelMate P6 - Apple M3 Pro M3 Pro (Desktop PC),,Acer,TravelMate P6,Apple,Apple M3 Pro,Apple M3 Pro,M3 Pro,3nm Apple Silicon,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,1163,1023,1163,1023,140,12,USD,,InStock,https://www.bestbuy.com/products/acer-travelmate-p6-apple-m3-pro,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0013,Samsung Galaxy Book4 Ultra - Intel Core Ultra 7 155H (Laptop),,Samsung,Galaxy Book4 Ultra,Intel,Intel Core Ultra 7,Intel Core Ultra 7,155H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1210,1210,1210,1210,0,0,USD,,InStock,https://www.bestbuy.com/products/samsung-galaxy-book4-ultra-intel-core-ultra-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0014,MSI Modern 14 - Intel Core i7 13700H (Laptop),,MSI,Modern 14,Intel,Intel Core i7,Intel Core i7,13700H,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1257,1257,1257,1257,0,0,USD,,InStock,https://www.bestbuy.com/products/msi-modern-14-intel-core-i7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0015,"Apple MacBook Air 15"" M3 - Intel Core 7 150U (Laptop)",,Apple,"MacBook Air 15"" M3",Intel,Intel Core 7,Intel Core 7,150U,14th Gen / Series 1,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1304,1148,1304,1148,156,12,USD,,InStock,https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0016,Dell Inspiron 15 (3520) - AMD Ryzen 9 7945HX (Laptop),,Dell,Inspiron 15 (3520),AMD,AMD Ryzen 9,AMD Ryzen 9,7945HX,Zen 4 / Dragon Range,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1351,1351,1351,1351,0,0,USD,,InStock,https://www.bestbuy.com/products/dell-inspiron-15-3520--amd-ryzen-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0017,HP Pavilion Plus 14 - Snapdragon X Elite X1E-80-100 (Laptop),,HP,Pavilion Plus 14,Qualcomm,Snapdragon X Elite,Snapdragon X Elite,X1E-80-100,Oryon ARM,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1398,1398,1398,1398,0,0,USD,,InStock,https://www.bestbuy.com/products/hp-pavilion-plus-14-snapdragon-x-elite,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0018,Lenovo Legion Pro 7i - Intel Core Ultra 9 185H (Desktop PC),,Lenovo,Legion Pro 7i,Intel,Intel Core Ultra 9,Intel Core Ultra 9,185H,14th Gen / Meteor Lake,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,1445,1272,1445,1272,173,12,USD,,InStock,https://www.bestbuy.com/products/lenovo-legion-pro-7i-intel-core-ultra-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0019,ASUS TUF Gaming A15 - Intel Core i9 14900HX (Laptop),,ASUS,TUF Gaming A15,Intel,Intel Core i9,Intel Core i9,14900HX,14th Gen / Raptor Lake-HX,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1492,1492,1492,1492,0,0,USD,,InStock,https://www.bestbuy.com/products/asus-tuf-gaming-a15-intel-core-i9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0020,Acer Spin 5 - AMD Ryzen 5 7520U (Laptop),,Acer,Spin 5,AMD,AMD Ryzen 5,AMD Ryzen 5,7520U,Zen 2 / Mendocino,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1539,1262,1539,1262,277,18,USD,,InStock,https://www.bestbuy.com/products/acer-spin-5-amd-ryzen-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0021,Samsung Galaxy Book4 Pro - Apple M3 M3 (Laptop),,Samsung,Galaxy Book4 Pro,Apple,Apple M3,Apple M3,M3,3nm Apple Silicon,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1586,1396,1586,1396,190,12,USD,,InStock,https://www.bestbuy.com/products/samsung-galaxy-book4-pro-apple-m3,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,,MSI Raider GE78 HX - Intel Core Ultra 5 125H (Laptop),,MSI,Raider GE78 HX,Intel,Intel Core Ultra 5,Intel Core Ultra 5,125H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1633,1633,1633,1633,0,0,USD,,InStock,https://www.bestbuy.com/products/msi-raider-ge78-hx-intel-core-ultra-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0023,"Apple MacBook Air 15"" M3 - Intel Core i5 1335U (Laptop)",,Apple,"MacBook Air 15"" M3",Intel,Intel Core i5,Intel Core i5,1335U,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1680,1680,1680,1680,0,0,USD,,InStock,https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-i5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0024,Dell Inspiron 16 Plus (7640) - AMD Ryzen 7 7840HS (Desktop PC),,Dell,Inspiron 16 Plus (7640),AMD,AMD Ryzen 7,AMD Ryzen 7,7840HS,Zen 4 / Phoenix,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,1727,1520,1727,1520,207,12,USD,,InStock,https://www.bestbuy.com/products/dell-inspiron-16-plus-7640--amd-ryzen-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0025,HP OMEN 16 Transcend - Apple M3 Pro M3 Pro (Laptop),,HP,OMEN 16 Transcend,Apple,Apple M3 Pro,Apple M3 Pro,M3 Pro,3nm Apple Silicon,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1774,1455,1774,1455,319,18,USD,,InStock,https://www.bestbuy.com/products/hp-omen-16-transcend-apple-m3-pro,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0026,Lenovo ThinkBook 16 Gen 6 - Intel Core Ultra 7 155H (Laptop),,Lenovo,ThinkBook 16 Gen 6,Intel,Intel Core Ultra 7,Intel Core Ultra 7,155H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1821,1821,1821,1821,0,0,USD,,InStock,https://www.bestbuy.com/products/lenovo-thinkbook-16-gen-6-intel-core-ultra-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0027,ASUS ExpertBook B9 - Intel Core i7 13700H (Laptop),,ASUS,ExpertBook B9,Intel,Intel Core i7,Intel Core i7,13700H,13th Gen / Raptor Lake,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1868,1644,1868,1644,224,12,USD,,InStock,https://www.bestbuy.com/products/asus-expertbook-b9-intel-core-i7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0028,Acer Swift Go 14 AI - Intel Core 7 150U (Laptop),,Acer,Swift Go 14 AI,Intel,Intel Core 7,Intel Core 7,150U,14th Gen / Series 1,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1915,1915,1915,1915,0,0,USD,,InStock,https://www.bestbuy.com/products/acer-swift-go-14-ai-intel-core-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0029,Samsung Galaxy Book4 360 - AMD Ryzen 9 7945HX (Laptop),,Samsung,Galaxy Book4 360,AMD,AMD Ryzen 9,AMD Ryzen 9,7945HX,Zen 4 / Dragon Range,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1962,1962,1962,1962,0,0,USD,,InStock,https://www.bestbuy.com/products/samsung-galaxy-book4-360-amd-ryzen-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0030,MSI Prestige 16 AI Evo - Snapdragon X Elite X1E-80-100 (Desktop PC),,MSI,Prestige 16 AI Evo,Qualcomm,Snapdragon X Elite,Snapdragon X Elite,X1E-80-100,Oryon ARM,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,2009,1768,2009,1768,241,12,USD,,InStock,https://www.bestbuy.com/products/msi-prestige-16-ai-evo-snapdragon-x-elite,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0031,"Apple MacBook Air 15"" M3 - Intel Core Ultra 9 185H (Laptop)",,Apple,"MacBook Air 15"" M3",Intel,Intel Core Ultra 9,Intel Core Ultra 9,185H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,2056,2056,2056,2056,0,0,USD,,InStock,https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-ultra-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0032,Dell Alienware m16 R2 - Intel Core i9 14900HX (Laptop),,Dell,Alienware m16 R2,Intel,Intel Core i9,Intel Core i9,14900HX,14th Gen / Raptor Lake-HX,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,2103,2103,2103,2103,0,0,USD,,InStock,https://www.bestbuy.com/products/dell-alienware-m16-r2-intel-core-i9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0001,Dell XPS 16 (9640) - AMD Ryzen 5 7520U (Laptop),,Dell,XPS 16 (9640),AMD,AMD Ryzen 5,AMD Ryzen 5,7520U,Zen 2 / Mendocino,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,735,735,735,735,0,0,USD,,InStock,https://www.walmart.com/products/dell-xps-16-9640--amd-ryzen-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0002,HP Envy x360 15 - Apple M3 M3 (Laptop),,HP,Envy x360 15,Apple,Apple M3,Apple M3,M3,3nm Apple Silicon,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,782,782,782,782,0,0,USD,,InStock,https://www.walmart.com/products/hp-envy-x360-15-apple-m3,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0003,Lenovo IdeaPad Slim 5 - Intel Core Ultra 5 125H (Laptop),,Lenovo,IdeaPad Slim 5,Intel,Intel Core Ultra 5,Intel Core Ultra 5,125H,14th Gen / Meteor Lake,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,829,730,829,730,99,12,USD,,InStock,https://www.walmart.com/products/lenovo-ideapad-slim-5-intel-core-ultra-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0004,ASUS ROG Strix SCAR 18 - Intel Core i5 1335U (Laptop),,ASUS,ROG Strix SCAR 18,Intel,Intel Core i5,Intel Core i5,1335U,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,876,876,876,876,0,0,USD,,InStock,https://www.walmart.com/products/asus-rog-strix-scar-18-intel-core-i5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0005,Acer TravelMate P6 - AMD Ryzen 7 7840HS (Laptop),,Acer,TravelMate P6,AMD,AMD Ryzen 7,AMD Ryzen 7,7840HS,Zen 4 / Phoenix,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,923,757,923,757,166,18,USD,,InStock,https://www.walmart.com/products/acer-travelmate-p6-amd-ryzen-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0006,Samsung Galaxy Book4 Pro - Apple M3 Pro M3 Pro (Desktop PC),,Samsung,Galaxy Book4 Pro,Apple,Apple M3 Pro,Apple M3 Pro,M3 Pro,3nm Apple Silicon,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,970,854,970,854,116,12,USD,,InStock,https://www.walmart.com/products/samsung-galaxy-book4-pro-apple-m3-pro,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0007,MSI Raider GE78 HX - Intel Core Ultra 7 155H (Laptop),,MSI,Raider GE78 HX,Intel,Intel Core Ultra 7,Intel Core Ultra 7,155H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1017,1017,1017,1017,0,0,USD,,InStock,https://www.walmart.com/products/msi-raider-ge78-hx-intel-core-ultra-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0008,"Apple MacBook Pro 14"" M3 - Intel Core i7 13700H (Laptop)",,Apple,"MacBook Pro 14"" M3",Intel,Intel Core i7,Intel Core i7,13700H,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1064,1064,1064,1064,0,0,USD,,InStock,https://www.walmart.com/products/apple-macbook-pro-14-m3-intel-core-i7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0009,Dell Inspiron 15 (3520) - Intel Core 7 150U (Laptop),,Dell,Inspiron 15 (3520),Intel,Intel Core 7,Intel Core 7,150U,14th Gen / Series 1,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1111,978,1111,978,133,12,USD,,InStock,https://www.walmart.com/products/dell-inspiron-15-3520--intel-core-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0010,HP Pavilion Plus 14 - AMD Ryzen 9 7945HX (Laptop),,HP,Pavilion Plus 14,AMD,AMD Ryzen 9,AMD Ryzen 9,7945HX,Zen 4 / Dragon Range,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1158,950,1158,950,208,18,USD,,InStock,https://www.walmart.com/products/hp-pavilion-plus-14-amd-ryzen-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,,Lenovo Legion Pro 7i - Snapdragon X Elite X1E-80-100 (Laptop),,Lenovo,Legion Pro 7i,Qualcomm,Snapdragon X Elite,Snapdragon X Elite,X1E-80-100,Oryon ARM,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1205,1205,1205,1205,0,0,USD,,InStock,https://www.walmart.com/products/lenovo-legion-pro-7i-snapdragon-x-elite,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0012,ASUS TUF Gaming A15 - Intel Core Ultra 9 185H (Desktop PC),,ASUS,TUF Gaming A15,Intel,Intel Core Ultra 9,Intel Core Ultra 9,185H,14th Gen / Meteor Lake,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,1252,1102,1252,1102,150,12,USD,,InStock,https://www.walmart.com/products/asus-tuf-gaming-a15-intel-core-ultra-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0013,Acer Spin 5 - Intel Core i9 14900HX (Laptop),,Acer,Spin 5,Intel,Intel Core i9,Intel Core i9,14900HX,14th Gen / Raptor Lake-HX,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1299,1299,1299,1299,0,0,USD,,InStock,https://www.walmart.com/products/acer-spin-5-intel-core-i9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0014,Samsung Galaxy Book4 360 - AMD Ryzen 5 7520U (Laptop),,Samsung,Galaxy Book4 360,AMD,AMD Ryzen 5,AMD Ryzen 5,7520U,Zen 2 / Mendocino,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1346,1346,1346,1346,0,0,USD,,InStock,https://www.walmart.com/products/samsung-galaxy-book4-360-amd-ryzen-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0015,MSI Prestige 16 AI Evo - Apple M3 M3 (Laptop),,MSI,Prestige 16 AI Evo,Apple,Apple M3,Apple M3,M3,3nm Apple Silicon,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1393,1226,1393,1226,167,12,USD,,InStock,https://www.walmart.com/products/msi-prestige-16-ai-evo-apple-m3,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0016,"Apple MacBook Pro 14"" M3 - Intel Core Ultra 5 125H (Laptop)",,Apple,"MacBook Pro 14"" M3",Intel,Intel Core Ultra 5,Intel Core Ultra 5,125H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1440,1440,1440,1440,0,0,USD,,InStock,https://www.walmart.com/products/apple-macbook-pro-14-m3-intel-core-ultra-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Walmart - US,United States,US,Walmart - US,1P Retailer,SKU-US-0017,Dell Inspiron 16 Plus (7640) - Intel Core i5 1335U (Laptop),,Dell,Inspiron 16 Plus (7640),Intel,Intel Core i5,Intel Core i5,1335U,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,1487,1487,1487,1487,0,0,USD,,InStock,https://www.walmart.com/products/dell-inspiron-16-plus-7640--intel-core-i5,2026-08-28T08:15:27.551208+00:00,2026-08-28
