target_id,retailer,country,laptop_url,http,playwright,firecrawl,brightdata,adapter,final_status,failure_reason
costco-us,Costco,United States,https://www.costco.com/p/-/dell-156-touchscreen-laptop-intel-core-ultra-7-255u-fhd-1920x1080-16gb-ram-1tb-ssd-carbon-black-windows-11-home/4000449542,NO,NO,YES,NO,N/A,SUCCESS,NONE
euronics-it,Euronics,Italy,https://www.euronics.it/gaming/pc-gaming/notebook-gaming/,NO,NO,NO,NO,NO,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
dell-global,Dell,Global,https://www.dell.com/en-us/shop/dell-laptops/scr/laptops,NO,NO,NO,NO,NO,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
hp-global,Hp,Global,https://www.hp.com/in-en/laptops/home-laptops/omnipad.html,YES,NO,NO,NO,NO,SUCCESS,NONE
komputronik-pl,Komputronik,Poland,https://www.komputronik.pl/category/5803/laptopy-i-komputery.html,NO,NO,NO,NO,NO,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
magazineluiza-br,Magazineluiza,Brazil,https://clube.magazineluiza.com.br/tudoazul/pasta-executiva-para-notebook-documentos-prime-inbox/p/agc1750dc6/md/peme,NO,NO,YES,NO,N/A,SUCCESS,NONE
lenovo-global,Lenovo,Global,https://www.lenovo.com/laptop-buying-guide/,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
mediamarkt-de,Mediamarkt,Germany,https://www.mediamarkt.de/de/content/it-informatik/notebooks/15-zoll-laptops-in-tests,NO,NO,NO,NO,N/A,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
mediamarkt-es,Mediamarkt,Spain,https://www.mediamarkt.es/es/product/_portatil-lenovo-ideapad-slim-3-15iph11-copilot-pc-153-wuxga-intelr-coretm-ultra-7-355-49-tops-16gb-ram-512gb-ssd-hd-graphics-w11h-1623675.html,NO,NO,YES,NO,N/A,SUCCESS,NONE
mediamarkt-it,Mediamarkt,Italy,https://ricondizionati.mediaworld.it/product/innoliving-condizionatore-portatile-innoliving-condizionatore-port.-198461.html,NO,NO,NO,NO,NO,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
mediamarkt-tr,Mediamarkt,Turkey,https://www.mediamarkt.com.tr/tr/product/_dell-vostro-5471-i7-8550u-8gb-256gb-ssd-14fhd-linux-laptop-1195514.html,NO,NO,NO,NO,NO,FAILED,LOW_CONFIDENCE_PRODUCT_PAGE
mercadolibre-cl,Mercadolibre,Chile,https://listado.mercadolibre.cl/computacion/notebooks-accesorios/notebooks/#menu=categories,NO,NO,NO,NO,N/A,FAILED,PRODUCT_IDENTITY_MISSING
mercadolibre-mx,Mercadolibre,Mexico,https://listado.mercadolibre.com.mx/electronica-audio-video/audio/audio-portatil-accesorios/#menu=categories,NO,NO,NO,NO,N/A,FAILED,NOT_A_LAPTOP_PRODUCT
mercadolibre-co,Mercadolibre,Colombia,https://listado.mercadolibre.com.co/computacion/portatiles-accesorios/portatiles/#menu=categories,NO,NO,NO,NO,N/A,FAILED,PRODUCT_IDENTITY_MISSING
mercadolivre-br,Mercadolibre,Brazil,https://lista.mercadolivre.com.br/informatica/portateis-acessorios/acessorios-notebook/#menu=categories,NO,NO,NO,NO,N/A,FAILED,PRODUCT_IDENTITY_MISSING
officeworks-au,Officeworks,Australia,https://www.officeworks.com.au/shop/officeworks/c/technology/laptops/everyday-value-laptops,NO,NO,NO,NO,N/A,FAILED,NOT_A_LAPTOP_PRODUCT
newegg-us,Newegg,United States,https://www.newegg.com/p/N82E16826197674?Item=N82E16826197674,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
