retailer|country|total_sample_n|intel_count|intel_sos_pct|amd_count|amd_sos_pct|apple_count|apple_sos_pct|qualcomm_count|qualcomm_sos_pct|laptop_intel_count|laptop_total_n|laptop_intel_sos_pct|desktop_intel_count|desktop_total_n|desktop_intel_sos_pct
Elkjop - SE|Sweden|28|15|53.6|6|21.4|5|17.9|2|7.1|13|24|54.2|2|4|50.0
Euronics - IT|Italy|26|14|53.8|6|23.1|4|15.4|2|7.7|11|22|50.0|3|4|75.0
Expert - DE|Germany|27|15|55.6|6|22.2|4|14.8|2|7.4|14|23|60.9|1|4|25.0
Flipkart - IN|India|32|16|50.0|8|25.0|6|18.8|2|6.2|14|27|51.9|2|5|40.0
Fnac - FR|France|29|16|55.2|7|24.1|4|13.8|2|6.9|13|25|52.0|3|4|75.0
Gmarket - KR|South Korea|25|13|52.0|6|24.0|4|16.0|2|8.0|12|21|57.1|1|4|25.0
HP|United States|30|16|53.3|7|23.3|4|13.3|3|10.0|13|25|52.0|3|5|60.0
JB Hi-Fi - AU|Australia|31|17|54.8|7|22.6|5|16.1|2|6.5|14|26|53.8|3|5|60.0
JD - CN|China|33|17|51.5|8|24.2|5|15.2|3|9.1|14|28|50.0|3|5|60.0
Komputronik - PL|Poland|29|17|58.6|6|20.7|4|13.8|2|6.9|15|25|60.0|2|4|50.0
Lenovo|United States|31|17|54.8|7|22.6|5|16.1|2|6.5|14|26|53.8|3|5|60.0
Magazine Luiza - BR|Brazil|28|15|53.6|6|21.4|4|14.3|3|10.7|12|24|50.0|3|4|75.0
MediaMarkt - DE|Germany|30|17|56.7|7|23.3|4|13.3|2|6.7|15|25|60.0|2|5|40.0
MediaMarkt - ES|Spain|30|16|53.3|7|23.3|5|16.7|2|6.7|13|25|52.0|3|5|60.0
MediaMarkt - TR|Turkey|29|16|55.2|6|20.7|4|13.8|3|10.3|13|25|52.0|3|4|75.0
MediaWorld - IT|Italy|29|15|51.7|7|24.1|5|17.2|2|6.9|13|25|52.0|2|4|50.0
Mercado Libre - CL|Chile|26|14|53.8|6|23.1|4|15.4|2|7.7|11|22|50.0|3|4|75.0
Mercado Libre - CO|Colombia|27|15|55.6|6|22.2|4|14.8|2|7.4|13|23|56.5|2|4|50.0
Mercado Libre - MX|Mexico|28|16|57.1|6|21.4|4|14.3|2|7.1|13|24|54.2|3|4|75.0
Mercado Livre - BR|Brazil|29|15|51.7|7|24.1|5|17.2|2|6.9|13|25|52.0|2|4|50.0
Monster Notebook - TR|Turkey|26|14|53.8|6|23.1|4|15.4|2|7.7|12|22|54.5|2|4|50.0
Newegg - US|United States|30|17|56.7|6|20.0|5|16.7|2|6.7|14|25|56.0|3|5|60.0
Officeworks - AU|Australia|27|15|55.6|6|22.2|4|14.8|2|7.4|12|23|52.2|3|4|75.0
Reliance Digital - IN|India|28|16|57.1|6|21.4|4|14.3|2|7.1|14|24|58.3|2|4|50.0
Staples - US|United States|26|14|53.8|6|23.1|4|15.4|2|7.7|11|22|50.0|3|4|75.0
TERG / MediaExpert - PL|Poland|30|16|53.3|7|23.3|5|16.7|2|6.7|14|25|56.0|2|5|40.0
The Gioi Di Dong - VN|Vietnam|28|14|50.0|7|25.0|4|14.3|3|10.7|12|24|50.0|2|4|50.0
Tmall - CN|China|24|13|54.2|5|20.8|4|16.7|2|8.3|10|20|50.0|3|4|75.0
Unieuro - IT|Italy|27|14|51.9|7|25.9|4|14.8|2|7.4|12|23|52.2|2|4|50.0
Walmart - US|United States|30|16|53.3|7|23.3|5|16.7|2|6.7|14|25|56.0|2|5|40.0
Yodobashi - JP|Japan|30|16|53.3|7|23.3|5|16.7|2|6.7|14|25|56.0|2|5|40.0
