date|month|quarter|year|account|country|oem|model|product_id|product_title|processor|processor_model|number|gen|graphic_card|ram|storage|storage_type|screen_size|form_factor|original_price|selling_price|usd_selling_price|currency|Evo|Gaming|Vpro|Premium|3p_1p|s1|s2|p1|p2|p3|p4|p5|listing_s|details_p|Overall|audit_depth|product_url|concatenate
2026-08-27|August|Q3|2026|Best Buy - US|United States|ASUS|ROG Strix SCAR 18||ASUS ROG Strix SCAR 18 - AMD Ryzen 7 7840HS (Laptop)|AMD|AMD Ryzen 7|7840HS|Zen 4 / Phoenix|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1116|1116|1116|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/asus-rog-strix-scar-18-amd-ryzen-7|"Best Buy - US|ASUS|ROG Strix SCAR 18|AMD Ryzen 7|7840HS"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Acer|TravelMate P6|SKU-US-0012|Acer TravelMate P6 - Apple M3 Pro M3 Pro (Desktop PC)|Apple|Apple M3 Pro|M3 Pro|3nm Apple Silicon|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|1163|1023|1023|USD|N|Y|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/acer-travelmate-p6-apple-m3-pro|"Best Buy - US|Acer|TravelMate P6|Apple M3 Pro|M3 Pro"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Samsung|Galaxy Book4 Ultra|SKU-US-0013|Samsung Galaxy Book4 Ultra - Intel Core Ultra 7 155H (Laptop)|Intel|Intel Core Ultra 7|155H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1210|1210|1210|USD|Y|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-ultra-intel-core-ultra-7|"Best Buy - US|Samsung|Galaxy Book4 Ultra|Intel Core Ultra 7|155H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|MSI|Modern 14|SKU-US-0014|MSI Modern 14 - Intel Core i7 13700H (Laptop)|Intel|Intel Core i7|13700H|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1257|1257|1257|USD|N|N|Y|Y|1P Retailer|80|100||||||90||90|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/msi-modern-14-intel-core-i7|"Best Buy - US|MSI|Modern 14|Intel Core i7|13700H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|SKU-US-0015|"Apple MacBook Air 15"" M3 - Intel Core 7 150U (Laptop)"|Intel|Intel Core 7|150U|14th Gen / Series 1|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|1304|1148|1148|USD|Y|N|N|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-7|"Best Buy - US|Apple|MacBook Air 15"" M3|Intel Core 7|150U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Dell|Inspiron 15 (3520)|SKU-US-0016|Dell Inspiron 15 (3520) - AMD Ryzen 9 7945HX (Laptop)|AMD|AMD Ryzen 9|7945HX|Zen 4 / Dragon Range|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1351|1351|1351|USD|N|Y|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/dell-inspiron-15-3520--amd-ryzen-9|"Best Buy - US|Dell|Inspiron 15 (3520)|AMD Ryzen 9|7945HX"
2026-08-27|August|Q3|2026|Best Buy - US|United States|HP|Pavilion Plus 14|SKU-US-0017|HP Pavilion Plus 14 - Snapdragon X Elite X1E-80-100 (Laptop)|Qualcomm|Snapdragon X Elite|X1E-80-100|Oryon ARM|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1398|1398|1398|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/hp-pavilion-plus-14-snapdragon-x-elite|"Best Buy - US|HP|Pavilion Plus 14|Snapdragon X Elite|X1E-80-100"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Lenovo|Legion Pro 7i|SKU-US-0018|Lenovo Legion Pro 7i - Intel Core Ultra 9 185H (Desktop PC)|Intel|Intel Core Ultra 9|185H|14th Gen / Meteor Lake|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|1445|1272|1272|USD|Y|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/lenovo-legion-pro-7i-intel-core-ultra-9|"Best Buy - US|Lenovo|Legion Pro 7i|Intel Core Ultra 9|185H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|ASUS|TUF Gaming A15|SKU-US-0019|ASUS TUF Gaming A15 - Intel Core i9 14900HX (Laptop)|Intel|Intel Core i9|14900HX|14th Gen / Raptor Lake-HX|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1492|1492|1492|USD|N|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/asus-tuf-gaming-a15-intel-core-i9|"Best Buy - US|ASUS|TUF Gaming A15|Intel Core i9|14900HX"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Acer|Spin 5|SKU-US-0020|Acer Spin 5 - AMD Ryzen 5 7520U (Laptop)|AMD|AMD Ryzen 5|7520U|Zen 2 / Mendocino|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1539|1262|1262|USD|N|Y|N|N|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/acer-spin-5-amd-ryzen-5|"Best Buy - US|Acer|Spin 5|AMD Ryzen 5|7520U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Samsung|Galaxy Book4 Pro|SKU-US-0021|Samsung Galaxy Book4 Pro - Apple M3 M3 (Laptop)|Apple|Apple M3|M3|3nm Apple Silicon|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|1586|1396|1396|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-pro-apple-m3|"Best Buy - US|Samsung|Galaxy Book4 Pro|Apple M3|M3"
2026-08-27|August|Q3|2026|Best Buy - US|United States|MSI|Raider GE78 HX||MSI Raider GE78 HX - Intel Core Ultra 5 125H (Laptop)|Intel|Intel Core Ultra 5|125H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1633|1633|1633|USD|Y|N|N|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/msi-raider-ge78-hx-intel-core-ultra-5|"Best Buy - US|MSI|Raider GE78 HX|Intel Core Ultra 5|125H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|SKU-US-0023|"Apple MacBook Air 15"" M3 - Intel Core i5 1335U (Laptop)"|Intel|Intel Core i5|1335U|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1680|1680|1680|USD|N|N|N|N|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-i5|"Best Buy - US|Apple|MacBook Air 15"" M3|Intel Core i5|1335U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Dell|Inspiron 16 Plus (7640)|SKU-US-0024|Dell Inspiron 16 Plus (7640) - AMD Ryzen 7 7840HS (Desktop PC)|AMD|AMD Ryzen 7|7840HS|Zen 4 / Phoenix|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|1727|1520|1520|USD|N|Y|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/dell-inspiron-16-plus-7640--amd-ryzen-7|"Best Buy - US|Dell|Inspiron 16 Plus (7640)|AMD Ryzen 7|7840HS"
2026-08-27|August|Q3|2026|Best Buy - US|United States|HP|OMEN 16 Transcend|SKU-US-0025|HP OMEN 16 Transcend - Apple M3 Pro M3 Pro (Laptop)|Apple|Apple M3 Pro|M3 Pro|3nm Apple Silicon|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1774|1455|1455|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/hp-omen-16-transcend-apple-m3-pro|"Best Buy - US|HP|OMEN 16 Transcend|Apple M3 Pro|M3 Pro"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Lenovo|ThinkBook 16 Gen 6|SKU-US-0026|Lenovo ThinkBook 16 Gen 6 - Intel Core Ultra 7 155H (Laptop)|Intel|Intel Core Ultra 7|155H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1821|1821|1821|USD|Y|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/lenovo-thinkbook-16-gen-6-intel-core-ultra-7|"Best Buy - US|Lenovo|ThinkBook 16 Gen 6|Intel Core Ultra 7|155H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|ASUS|ExpertBook B9|SKU-US-0027|ASUS ExpertBook B9 - Intel Core i7 13700H (Laptop)|Intel|Intel Core i7|13700H|13th Gen / Raptor Lake|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|1868|1644|1644|USD|N|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/asus-expertbook-b9-intel-core-i7|"Best Buy - US|ASUS|ExpertBook B9|Intel Core i7|13700H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Acer|Swift Go 14 AI|SKU-US-0028|Acer Swift Go 14 AI - Intel Core 7 150U (Laptop)|Intel|Intel Core 7|150U|14th Gen / Series 1|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1915|1915|1915|USD|Y|Y|N|Y|1P Retailer|80|0||||||40||40|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/acer-swift-go-14-ai-intel-core-7|"Best Buy - US|Acer|Swift Go 14 AI|Intel Core 7|150U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Samsung|Galaxy Book4 360|SKU-US-0029|Samsung Galaxy Book4 360 - AMD Ryzen 9 7945HX (Laptop)|AMD|AMD Ryzen 9|7945HX|Zen 4 / Dragon Range|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1962|1962|1962|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-360-amd-ryzen-9|"Best Buy - US|Samsung|Galaxy Book4 360|AMD Ryzen 9|7945HX"
2026-08-27|August|Q3|2026|Best Buy - US|United States|MSI|Prestige 16 AI Evo|SKU-US-0030|MSI Prestige 16 AI Evo - Snapdragon X Elite X1E-80-100 (Desktop PC)|Qualcomm|Snapdragon X Elite|X1E-80-100|Oryon ARM|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|2009|1768|1768|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/msi-prestige-16-ai-evo-snapdragon-x-elite|"Best Buy - US|MSI|Prestige 16 AI Evo|Snapdragon X Elite|X1E-80-100"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|SKU-US-0031|"Apple MacBook Air 15"" M3 - Intel Core Ultra 9 185H (Laptop)"|Intel|Intel Core Ultra 9|185H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|2056|2056|2056|USD|Y|N|Y|Y|1P Retailer|100|100||||||100||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-ultra-9|"Best Buy - US|Apple|MacBook Air 15"" M3|Intel Core Ultra 9|185H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Dell|Alienware m16 R2|SKU-US-0032|Dell Alienware m16 R2 - Intel Core i9 14900HX (Laptop)|Intel|Intel Core i9|14900HX|14th Gen / Raptor Lake-HX|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|2103|2103|2103|USD|N|Y|Y|Y|1P Retailer|100|0||||||50||50|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/dell-alienware-m16-r2-intel-core-i9|"Best Buy - US|Dell|Alienware m16 R2|Intel Core i9|14900HX"
2026-08-27|August|Q3|2026|Walmart - US|United States|Dell|XPS 16 (9640)|SKU-US-0001|Dell XPS 16 (9640) - AMD Ryzen 5 7520U (Laptop)|AMD|AMD Ryzen 5|7520U|Zen 2 / Mendocino|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|735|735|735|USD|N|N|N|N|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/dell-xps-16-9640--amd-ryzen-5|"Walmart - US|Dell|XPS 16 (9640)|AMD Ryzen 5|7520U"
2026-08-27|August|Q3|2026|Walmart - US|United States|HP|Envy x360 15|SKU-US-0002|HP Envy x360 15 - Apple M3 M3 (Laptop)|Apple|Apple M3|M3|3nm Apple Silicon|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|782|782|782|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/hp-envy-x360-15-apple-m3|"Walmart - US|HP|Envy x360 15|Apple M3|M3"
2026-08-27|August|Q3|2026|Walmart - US|United States|Lenovo|IdeaPad Slim 5|SKU-US-0003|Lenovo IdeaPad Slim 5 - Intel Core Ultra 5 125H (Laptop)|Intel|Intel Core Ultra 5|125H|14th Gen / Meteor Lake|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|829|730|730|USD|Y|N|N|Y|1P Retailer|100|100|100|80|100|60|90|100|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/lenovo-ideapad-slim-5-intel-core-ultra-5|"Walmart - US|Lenovo|IdeaPad Slim 5|Intel Core Ultra 5|125H"
2026-08-27|August|Q3|2026|Walmart - US|United States|ASUS|ROG Strix SCAR 18|SKU-US-0004|ASUS ROG Strix SCAR 18 - Intel Core i5 1335U (Laptop)|Intel|Intel Core i5|1335U|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|876|876|876|USD|N|Y|N|N|1P Retailer|100|0|100|100|100|80|70|50|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/asus-rog-strix-scar-18-intel-core-i5|"Walmart - US|ASUS|ROG Strix SCAR 18|Intel Core i5|1335U"
2026-08-27|August|Q3|2026|Walmart - US|United States|Acer|TravelMate P6|SKU-US-0005|Acer TravelMate P6 - AMD Ryzen 7 7840HS (Laptop)|AMD|AMD Ryzen 7|7840HS|Zen 4 / Phoenix|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|923|757|757|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/acer-travelmate-p6-amd-ryzen-7|"Walmart - US|Acer|TravelMate P6|AMD Ryzen 7|7840HS"
2026-08-27|August|Q3|2026|Walmart - US|United States|Samsung|Galaxy Book4 Pro|SKU-US-0006|Samsung Galaxy Book4 Pro - Apple M3 Pro M3 Pro (Desktop PC)|Apple|Apple M3 Pro|M3 Pro|3nm Apple Silicon|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|970|854|854|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/samsung-galaxy-book4-pro-apple-m3-pro|"Walmart - US|Samsung|Galaxy Book4 Pro|Apple M3 Pro|M3 Pro"
2026-08-27|August|Q3|2026|Walmart - US|United States|MSI|Raider GE78 HX|SKU-US-0007|MSI Raider GE78 HX - Intel Core Ultra 7 155H (Laptop)|Intel|Intel Core Ultra 7|155H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1017|1017|1017|USD|Y|N|Y|Y|1P Retailer|80|100|100|100|100|60|70|90|86|88|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/msi-raider-ge78-hx-intel-core-ultra-7|"Walmart - US|MSI|Raider GE78 HX|Intel Core Ultra 7|155H"
2026-08-27|August|Q3|2026|Walmart - US|United States|Apple|"MacBook Pro 14"" M3"|SKU-US-0008|"Apple MacBook Pro 14"" M3 - Intel Core i7 13700H (Laptop)"|Intel|Intel Core i7|13700H|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1064|1064|1064|USD|N|Y|Y|Y|1P Retailer|100|0|100|100|100|80|70|50|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/apple-macbook-pro-14-m3-intel-core-i7|"Walmart - US|Apple|MacBook Pro 14"" M3|Intel Core i7|13700H"
2026-08-27|August|Q3|2026|Walmart - US|United States|Dell|Inspiron 15 (3520)|SKU-US-0009|Dell Inspiron 15 (3520) - Intel Core 7 150U (Laptop)|Intel|Intel Core 7|150U|14th Gen / Series 1|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|1111|978|978|USD|Y|N|N|Y|1P Retailer|100|100|100|80|100|60|90|100|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/dell-inspiron-15-3520--intel-core-7|"Walmart - US|Dell|Inspiron 15 (3520)|Intel Core 7|150U"
2026-08-27|August|Q3|2026|Walmart - US|United States|HP|Pavilion Plus 14|SKU-US-0010|HP Pavilion Plus 14 - AMD Ryzen 9 7945HX (Laptop)|AMD|AMD Ryzen 9|7945HX|Zen 4 / Dragon Range|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1158|950|950|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/hp-pavilion-plus-14-amd-ryzen-9|"Walmart - US|HP|Pavilion Plus 14|AMD Ryzen 9|7945HX"
2026-08-27|August|Q3|2026|Walmart - US|United States|Lenovo|Legion Pro 7i||Lenovo Legion Pro 7i - Snapdragon X Elite X1E-80-100 (Laptop)|Qualcomm|Snapdragon X Elite|X1E-80-100|Oryon ARM|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|1205|1205|1205|USD|N|N|N|Y|1P Retailer|0|0||||||0||0|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/lenovo-legion-pro-7i-snapdragon-x-elite|"Walmart - US|Lenovo|Legion Pro 7i|Snapdragon X Elite|X1E-80-100"
2026-08-27|August|Q3|2026|Walmart - US|United States|ASUS|TUF Gaming A15|SKU-US-0012|ASUS TUF Gaming A15 - Intel Core Ultra 9 185H (Desktop PC)|Intel|Intel Core Ultra 9|185H|14th Gen / Meteor Lake|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|1252|1102|1102|USD|Y|Y|Y|Y|1P Retailer|100|0||||||50||50|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/asus-tuf-gaming-a15-intel-core-ultra-9|"Walmart - US|ASUS|TUF Gaming A15|Intel Core Ultra 9|185H"
