sku_id|retailer|country|oem|model|processor|is_evo|evo_badge_detected|details_p|Overall|audit_depth|product_url
SKU-US-0026|Best Buy - US|United States|Lenovo|ThinkBook 16 Gen 6|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/lenovo-thinkbook-16-gen-6-intel-core-ultra-7
SKU-US-0027|Best Buy - US|United States|ASUS|ExpertBook B9|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/asus-expertbook-b9-intel-core-i7
SKU-US-0028|Best Buy - US|United States|Acer|Swift Go 14 AI|Intel Core 7|Y|YES||40|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/acer-swift-go-14-ai-intel-core-7
SKU-US-0031|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-ultra-9
SKU-US-0032|Best Buy - US|United States|Dell|Alienware m16 R2|Intel Core i9|N|NO||50|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/dell-alienware-m16-r2-intel-core-i9
SKU-US-0003|Walmart - US|United States|Lenovo|IdeaPad Slim 5|Intel Core Ultra 5|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/lenovo-ideapad-slim-5-intel-core-ultra-5
SKU-US-0004|Walmart - US|United States|ASUS|ROG Strix SCAR 18|Intel Core i5|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/asus-rog-strix-scar-18-intel-core-i5
SKU-US-0007|Walmart - US|United States|MSI|Raider GE78 HX|Intel Core Ultra 7|Y|YES|86|88|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/msi-raider-ge78-hx-intel-core-ultra-7
SKU-US-0008|Walmart - US|United States|Apple|"MacBook Pro 14"" M3"|Intel Core i7|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/apple-macbook-pro-14-m3-intel-core-i7
SKU-US-0009|Walmart - US|United States|Dell|Inspiron 15 (3520)|Intel Core 7|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.walmart.com/products/dell-inspiron-15-3520--intel-core-7
SKU-US-0013|Walmart - US|United States|Acer|Spin 5|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/acer-spin-5-intel-core-i9
SKU-US-0016|Walmart - US|United States|Apple|"MacBook Pro 14"" M3"|Intel Core Ultra 5|Y|YES||50|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/apple-macbook-pro-14-m3-intel-core-ultra-5
SKU-US-0017|Walmart - US|United States|Dell|Inspiron 16 Plus (7640)|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/dell-inspiron-16-plus-7640--intel-core-i5
SKU-US-0020|Walmart - US|United States|ASUS|ExpertBook B9|Intel Core Ultra 7|Y|YES||50|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/asus-expertbook-b9-intel-core-ultra-7
SKU-US-0021|Walmart - US|United States|Acer|Swift Go 14 AI|Intel Core i7|N|NO||90|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/acer-swift-go-14-ai-intel-core-i7
|Walmart - US|United States|Samsung|Galaxy Book4 Ultra|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/samsung-galaxy-book4-ultra-intel-core-7
SKU-US-0025|Walmart - US|United States|Dell|Alienware m16 R2|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/dell-alienware-m16-r2-intel-core-ultra-9
SKU-US-0026|Walmart - US|United States|HP|Victus 15|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/hp-victus-15-intel-core-i9
SKU-US-0029|Walmart - US|United States|Acer|Swift X 14|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.walmart.com/products/acer-swift-x-14-intel-core-ultra-5
SKU-US-0001|Costco - US|United States|Apple|"MacBook Pro 16"" M3 Max"|Intel Core Ultra 7|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.costco.com/products/apple-macbook-pro-16-m3-max-intel-core-ultra-7
SKU-US-0002|Costco - US|United States|Dell|Inspiron 15 (3520)|Intel Core i7|N|NO|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.costco.com/products/dell-inspiron-15-3520--intel-core-i7
SKU-US-0003|Costco - US|United States|HP|Pavilion Plus 14|Intel Core 7|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.costco.com/products/hp-pavilion-plus-14-intel-core-7
SKU-US-0007|Costco - US|United States|Samsung|Galaxy Book4 Ultra|Intel Core i9|N|NO|86|88|FULL_PDP_AUDIT (7-Rule)|https://www.costco.com/products/samsung-galaxy-book4-ultra-intel-core-i9
SKU-US-0010|Costco - US|United States|Dell|Inspiron 16 Plus (7640)|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/dell-inspiron-16-plus-7640--intel-core-ultra-5
|Costco - US|United States|HP|OMEN 16 Transcend|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/hp-omen-16-transcend-intel-core-i5
SKU-US-0014|Costco - US|United States|Acer|Swift Go 14 AI|Intel Core Ultra 7|Y|YES||90|LISTING_ONLY (2-Rule)|https://www.costco.com/products/acer-swift-go-14-ai-intel-core-ultra-7
SKU-US-0015|Costco - US|United States|Samsung|Galaxy Book4 Pro|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/samsung-galaxy-book4-pro-intel-core-i7
SKU-US-0016|Costco - US|United States|MSI|Stealth 16 AI Studio|Intel Core 7|Y|YES||50|LISTING_ONLY (2-Rule)|https://www.costco.com/products/msi-stealth-16-ai-studio-intel-core-7
SKU-US-0019|Costco - US|United States|HP|Victus 15|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/hp-victus-15-intel-core-ultra-9
SKU-US-0020|Costco - US|United States|Lenovo|LOQ 15IRX9|Intel Core i9|N|NO||50|LISTING_ONLY (2-Rule)|https://www.costco.com/products/lenovo-loq-15irx9-intel-core-i9
SKU-US-0023|Costco - US|United States|Samsung|Galaxy Book4 360|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/samsung-galaxy-book4-360-intel-core-ultra-5
SKU-US-0027|Costco - US|United States|HP|EliteBook 840 G10|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.costco.com/products/hp-elitebook-840-g10-intel-core-ultra-7
SKU-US-0028|Costco - US|United States|Lenovo|ThinkPad X1 Carbon Gen 12|Intel Core i7|N|NO||40|LISTING_ONLY (2-Rule)|https://www.costco.com/products/lenovo-thinkpad-x1-carbon-gen-12-intel-core-i7
SKU-US-0001|Amazon - US|United States|MSI|Stealth 16 AI Studio|Intel Core i9|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/msi-stealth-16-ai-studio-intel-core-i9
SKU-US-0004|Amazon - US|United States|HP|OMEN 16 Transcend|Intel Core Ultra 5|Y|YES|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/hp-omen-16-transcend-intel-core-ultra-5
SKU-US-0005|Amazon - US|United States|Lenovo|ThinkBook 16 Gen 6|Intel Core i5|N|NO|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/lenovo-thinkbook-16-gen-6-intel-core-i5
SKU-US-0008|Amazon - US|United States|Samsung|Galaxy Book4 360|Intel Core Ultra 7|Y|YES|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/samsung-galaxy-book4-360-intel-core-ultra-7
SKU-US-0009|Amazon - US|United States|MSI|Modern 14|Intel Core i7|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/msi-modern-14-intel-core-i7
SKU-US-0010|Amazon - US|United States|Apple|"MacBook Air 13"" M3"|Intel Core 7|Y|YES|87|92|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/apple-macbook-air-13-m3-intel-core-7
SKU-US-0013|Amazon - US|United States|Lenovo|LOQ 15IRX9|Intel Core Ultra 9|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/lenovo-loq-15irx9-intel-core-ultra-9
SKU-US-0014|Amazon - US|United States|ASUS|Zenbook Duo (2024)|Intel Core i9|N|NO|90|90|FULL_PDP_AUDIT (7-Rule)|https://www.amazon.com/products/asus-zenbook-duo-2024--intel-core-i9
SKU-US-0017|Amazon - US|United States|MSI|Raider GE78 HX|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/msi-raider-ge78-hx-intel-core-ultra-5
SKU-US-0021|Amazon - US|United States|Lenovo|ThinkPad X1 Carbon Gen 12|Intel Core Ultra 7|Y|YES||90|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/lenovo-thinkpad-x1-carbon-gen-12-intel-core-ultra-7
|Amazon - US|United States|ASUS|Zenbook 14 OLED|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/asus-zenbook-14-oled-intel-core-i7
SKU-US-0023|Amazon - US|United States|Acer|Aspire 5|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/acer-aspire-5-intel-core-7
SKU-US-0026|Amazon - US|United States|Apple|"MacBook Air 13"" M3"|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/apple-macbook-air-13-m3-intel-core-ultra-9
SKU-US-0027|Amazon - US|United States|Dell|G15 Gaming (5530)|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/dell-g15-gaming-5530--intel-core-i9
SKU-US-0031|Amazon - US|United States|Acer|Predator Helios 16|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/acer-predator-helios-16-intel-core-i5
SKU-US-0034|Amazon - US|United States|Apple|"MacBook Air 13"" M3"|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.amazon.com/products/apple-macbook-air-13-m3-intel-core-ultra-7
SKU-US-0002|Newegg - US|United States|MSI|Raider GE78 HX|Intel Core Ultra 7|Y|YES|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.newegg.com/products/msi-raider-ge78-hx-intel-core-ultra-7
SKU-US-0003|Newegg - US|United States|Apple|"MacBook Air 15"" M3"|Intel Core i7|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.newegg.com/products/apple-macbook-air-15-m3-intel-core-i7
SKU-US-0004|Newegg - US|United States|Dell|Alienware m16 R2|Intel Core 7|Y|YES|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.newegg.com/products/dell-alienware-m16-r2-intel-core-7
SKU-US-0007|Newegg - US|United States|ASUS|Zenbook Duo (2024)|Intel Core Ultra 9|Y|YES|86|88|FULL_PDP_AUDIT (7-Rule)|https://www.newegg.com/products/asus-zenbook-duo-2024--intel-core-ultra-9
SKU-US-0008|Newegg - US|United States|Acer|Swift X 14|Intel Core i9|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.newegg.com/products/acer-swift-x-14-intel-core-i9
|Newegg - US|United States|Apple|"MacBook Air 15"" M3"|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/apple-macbook-air-15-m3-intel-core-ultra-5
SKU-US-0015|Newegg - US|United States|ASUS|Zenbook 14 OLED|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/asus-zenbook-14-oled-intel-core-ultra-7
SKU-US-0016|Newegg - US|United States|Acer|Aspire 5|Intel Core i7|N|NO||50|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/acer-aspire-5-intel-core-i7
SKU-US-0017|Newegg - US|United States|Samsung|Galaxy Book4 360|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/samsung-galaxy-book4-360-intel-core-7
SKU-US-0020|Newegg - US|United States|Dell|G15 Gaming (5530)|Intel Core Ultra 9|Y|YES||50|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/dell-g15-gaming-5530--intel-core-ultra-9
SKU-US-0021|Newegg - US|United States|HP|Spectre x360 14|Intel Core i9|N|NO||90|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/hp-spectre-x360-14-intel-core-i9
SKU-US-0025|Newegg - US|United States|Samsung|Galaxy Book4 Ultra|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/samsung-galaxy-book4-ultra-intel-core-i5
SKU-US-0028|Newegg - US|United States|Dell|XPS 14 (9440)|Intel Core Ultra 7|Y|YES||40|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/dell-xps-14-9440--intel-core-ultra-7
SKU-US-0029|Newegg - US|United States|HP|Spectre x360 16|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.newegg.com/products/hp-spectre-x360-16-intel-core-i7
SKU-US-0001|Staples - US|United States|Acer|Swift X 14|Intel Core Ultra 9|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.staples.com/products/acer-swift-x-14-intel-core-ultra-9
SKU-US-0002|Staples - US|United States|Samsung|Galaxy Book4 360|Intel Core i9|N|NO|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.staples.com/products/samsung-galaxy-book4-360-intel-core-i9
SKU-US-0005|Staples - US|United States|Dell|Latitude 5540|Intel Core Ultra 5|Y|YES|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.staples.com/products/dell-latitude-5540-intel-core-ultra-5
SKU-US-0009|Staples - US|United States|Acer|Aspire 5|Intel Core Ultra 7|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.staples.com/products/acer-aspire-5-intel-core-ultra-7
SKU-US-0010|Staples - US|United States|Samsung|Galaxy Book4 Ultra|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/samsung-galaxy-book4-ultra-intel-core-i7
|Staples - US|United States|MSI|Stealth 16 AI Studio|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/msi-stealth-16-ai-studio-intel-core-7
SKU-US-0014|Staples - US|United States|HP|Spectre x360 14|Intel Core Ultra 9|Y|YES||90|LISTING_ONLY (2-Rule)|https://www.staples.com/products/hp-spectre-x360-14-intel-core-ultra-9
SKU-US-0015|Staples - US|United States|Lenovo|"Yoga Pro 9i (16"")"|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/lenovo-yoga-pro-9i-16--intel-core-i9
SKU-US-0019|Staples - US|United States|MSI|Modern 14|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/msi-modern-14-intel-core-i5
|Staples - US|United States|HP|Spectre x360 16|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/hp-spectre-x360-16-intel-core-ultra-7
SKU-US-0023|Staples - US|United States|Lenovo|Yoga 7i 2-in-1|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.staples.com/products/lenovo-yoga-7i-2-in-1-intel-core-i7
SKU-US-0003|Dell|United States|Samsung|Galaxy Book4 Pro|Intel Core Ultra 7|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/samsung-galaxy-book4-pro-intel-core-ultra-7
SKU-US-0004|Dell|United States|MSI|Modern 14|Intel Core i7|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/msi-modern-14-intel-core-i7
SKU-US-0005|Dell|United States|Apple|"MacBook Pro 16"" M3 Max"|Intel Core 7|Y|YES|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/apple-macbook-pro-16-m3-max-intel-core-7
SKU-US-0008|Dell|United States|Lenovo|"Yoga Pro 9i (16"")"|Intel Core Ultra 9|Y|YES|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/lenovo-yoga-pro-9i-16--intel-core-ultra-9
SKU-US-0009|Dell|United States|ASUS|Vivobook S 15 OLED|Intel Core i9|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/asus-vivobook-s-15-oled-intel-core-i9
SKU-US-0013|Dell|United States|Apple|"MacBook Pro 16"" M3 Max"|Intel Core i5|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.dell.com/products/apple-macbook-pro-16-m3-max-intel-core-i5
SKU-US-0016|Dell|United States|Lenovo|Yoga 7i 2-in-1|Intel Core Ultra 7|Y|YES||50|LISTING_ONLY (2-Rule)|https://www.dell.com/products/lenovo-yoga-7i-2-in-1-intel-core-ultra-7
SKU-US-0017|Dell|United States|ASUS|ROG Zephyrus G16|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.dell.com/products/asus-rog-zephyrus-g16-intel-core-i7
SKU-US-0021|Dell|United States|Apple|"MacBook Pro 16"" M3 Max"|Intel Core Ultra 9|Y|YES||90|LISTING_ONLY (2-Rule)|https://www.dell.com/products/apple-macbook-pro-16-m3-max-intel-core-ultra-9
|Dell|United States|Dell|XPS 16 (9640)|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.dell.com/products/dell-xps-16-9640--intel-core-i9
SKU-US-0025|Dell|United States|ASUS|ROG Strix SCAR 18|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.dell.com/products/asus-rog-strix-scar-18-intel-core-ultra-5
SKU-US-0026|Dell|United States|Acer|TravelMate P6|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.dell.com/products/acer-travelmate-p6-intel-core-i5
SKU-US-0029|Dell|United States|Apple|"MacBook Pro 16"" M3 Max"|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.dell.com/products/apple-macbook-pro-16-m3-max-intel-core-ultra-7
SKU-US-0002|HP|United States|ASUS|Vivobook S 15 OLED|Intel Core Ultra 9|Y|YES|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.hp.com/products/asus-vivobook-s-15-oled-intel-core-ultra-9
SKU-US-0003|HP|United States|Acer|Predator Helios 16|Intel Core i9|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.hp.com/products/acer-predator-helios-16-intel-core-i9
SKU-US-0007|HP|United States|Dell|XPS 14 (9440)|Intel Core i5|N|NO|86|88|FULL_PDP_AUDIT (7-Rule)|https://www.hp.com/products/dell-xps-14-9440--intel-core-i5
SKU-US-0010|HP|United States|ASUS|ROG Zephyrus G16|Intel Core Ultra 7|Y|YES|87|92|FULL_PDP_AUDIT (7-Rule)|https://www.hp.com/products/asus-rog-zephyrus-g16-intel-core-ultra-7
|HP|United States|Acer|Nitro 16|Intel Core i7|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.hp.com/products/acer-nitro-16-intel-core-i7
SKU-US-0015|HP|United States|Dell|XPS 16 (9640)|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.hp.com/products/dell-xps-16-9640--intel-core-ultra-9
SKU-US-0016|HP|United States|HP|Envy x360 15|Intel Core i9|N|NO||50|LISTING_ONLY (2-Rule)|https://www.hp.com/products/hp-envy-x360-15-intel-core-i9
SKU-US-0019|HP|United States|Acer|TravelMate P6|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.hp.com/products/acer-travelmate-p6-intel-core-ultra-5
SKU-US-0020|HP|United States|Samsung|Galaxy Book4 360|Intel Core i5|N|NO||50|LISTING_ONLY (2-Rule)|https://www.hp.com/products/samsung-galaxy-book4-360-intel-core-i5
SKU-US-0023|HP|United States|Dell|Inspiron 15 (3520)|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.hp.com/products/dell-inspiron-15-3520--intel-core-ultra-7
SKU-US-0025|HP|United States|Lenovo|Legion Pro 7i|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.hp.com/products/lenovo-legion-pro-7i-intel-core-7
SKU-US-0028|HP|United States|Samsung|Galaxy Book4 Ultra|Intel Core Ultra 9|Y|YES||40|LISTING_ONLY (2-Rule)|https://www.hp.com/products/samsung-galaxy-book4-ultra-intel-core-ultra-9
SKU-US-0029|HP|United States|MSI|Modern 14|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.hp.com/products/msi-modern-14-intel-core-i9
SKU-US-0001|Lenovo|United States|HP|Spectre x360 16|Intel Core i5|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.lenovo.com/products/hp-spectre-x360-16-intel-core-i5
SKU-US-0004|Lenovo|United States|Acer|Nitro 16|Intel Core Ultra 7|Y|YES|90|74|FULL_PDP_AUDIT (7-Rule)|https://www.lenovo.com/products/acer-nitro-16-intel-core-ultra-7
SKU-US-0005|Lenovo|United States|Samsung|Galaxy Book4 360|Intel Core i7|N|NO|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.lenovo.com/products/samsung-galaxy-book4-360-intel-core-i7
SKU-US-0009|Lenovo|United States|HP|Envy x360 15|Intel Core Ultra 9|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.lenovo.com/products/hp-envy-x360-15-intel-core-ultra-9
SKU-US-0010|Lenovo|United States|Lenovo|IdeaPad Slim 5|Intel Core i9|N|NO|87|92|FULL_PDP_AUDIT (7-Rule)|https://www.lenovo.com/products/lenovo-ideapad-slim-5-intel-core-i9
SKU-US-0013|Lenovo|United States|Samsung|Galaxy Book4 Ultra|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/samsung-galaxy-book4-ultra-intel-core-ultra-5
SKU-US-0014|Lenovo|United States|MSI|Modern 14|Intel Core i5|N|NO||90|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/msi-modern-14-intel-core-i5
SKU-US-0017|Lenovo|United States|HP|Pavilion Plus 14|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/hp-pavilion-plus-14-intel-core-ultra-7
SKU-US-0019|Lenovo|United States|ASUS|TUF Gaming A15|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/asus-tuf-gaming-a15-intel-core-7
|Lenovo|United States|MSI|Raider GE78 HX|Intel Core Ultra 9|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/msi-raider-ge78-hx-intel-core-ultra-9
SKU-US-0023|Lenovo|United States|Apple|"MacBook Air 15"" M3"|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/apple-macbook-air-15-m3-intel-core-i9
SKU-US-0026|Lenovo|United States|Lenovo|ThinkBook 16 Gen 6|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/lenovo-thinkbook-16-gen-6-intel-core-ultra-5
SKU-US-0027|Lenovo|United States|ASUS|ExpertBook B9|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/asus-expertbook-b9-intel-core-i5
SKU-US-0031|Lenovo|United States|Apple|"MacBook Air 15"" M3"|Intel Core i7|N|NO||100|LISTING_ONLY (2-Rule)|https://www.lenovo.com/products/apple-macbook-air-15-m3-intel-core-i7
SKU-Global-0003|Acer|Global|Lenovo|IdeaPad Slim 5|Intel Core Ultra 9|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://store.acer.com/products/lenovo-ideapad-slim-5-intel-core-ultra-9
SKU-Global-0004|Acer|Global|ASUS|ROG Strix SCAR 18|Intel Core i9|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://store.acer.com/products/asus-rog-strix-scar-18-intel-core-i9
SKU-Global-0007|Acer|Global|MSI|Raider GE78 HX|Intel Core Ultra 5|Y|YES|86|88|FULL_PDP_AUDIT (7-Rule)|https://store.acer.com/products/msi-raider-ge78-hx-intel-core-ultra-5
SKU-Global-0008|Acer|Global|Apple|"MacBook Pro 14"" M3"|Intel Core i5|N|NO|90|74|FULL_PDP_AUDIT (7-Rule)|https://store.acer.com/products/apple-macbook-pro-14-m3-intel-core-i5
|Acer|Global|Lenovo|Legion Pro 7i|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://store.acer.com/products/lenovo-legion-pro-7i-intel-core-ultra-7
SKU-Global-0013|Acer|Global|Acer|Spin 5|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://store.acer.com/products/acer-spin-5-intel-core-7
SKU-Global-0016|Acer|Global|Apple|"MacBook Pro 14"" M3"|Intel Core Ultra 9|Y|YES||50|LISTING_ONLY (2-Rule)|https://store.acer.com/products/apple-macbook-pro-14-m3-intel-core-ultra-9
