target_id,retailer,country,laptop_url,http,playwright,firecrawl,brightdata,adapter,final_status,failure_reason
komputronik-pl,Komputronik,Poland,https://www.komputronik.pl/category/5803/laptopy-i-komputery.html,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
lenovo-global,Lenovo,Global,https://www.lenovo.com/laptop-buying-guide/,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
mercadolibre-mx,Mercadolibre,Mexico,https://listado.mercadolibre.com.mx/electronica-audio-video/audio/audio-portatil-accesorios/#menu=categories,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
mercadolibre-cl,Mercadolibre,Chile,https://listado.mercadolibre.cl/computacion/notebooks-accesorios/notebooks/#menu=categories,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-mx,Amazon,Mexico,https://www.amazon.com.mx/Regadera-Portatil-Recargable-8000mAh-Camping/dp/B0GRGW1GTK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EfNacvqk5qMKr6mC3ozt2nknu7555Vy9_JSq5y_mzcwJkz3EjN6ctqOTU5TVqxWX57VRiVXDoBx5HQnxsEIUVTPXcsX2UZGo2sXoSDUnrJDPhBqSVN9ZQJm5mHz9H_N4dYfvy7prM1vw3lm278KD0y_1o8Brae1n4mJHiuxcZr--_8G2FYLHGBLDWOZ50Z8dYeckXnRV-rwI5OsQWcZ-XHI_HzT9eqp-Yez4dHvVDTF19Yh6wBBFModqUQZiKxJ0sRT1E_JsrASH8nL_63HGfDXdnM1pa-pvLw8RHV_FFiw.Dh_tKe2OPrcrS3aU_k6kVI2SckfMBn1bZvph_5iX1UA&dib_tag=se&keywords=portatil&qid=1787581958&sr=8-5&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,NO,NO,NO,NO,N/A,FAILED,WAF_BOT_CHALLENGE
mercadolibre-co,Mercadolibre,Colombia,https://listado.mercadolibre.com.co/computacion/portatiles-accesorios/portatiles/#menu=categories,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-ca,Amazon,Canada,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0LvvhywwDS7khN3yY3pUbz01tn1lk0yNXd-eMpLu3-9mWvpaU6m-x3LPGGP4fdpaJOrhMF6jh8O2hQUODa41VtAfqT05YuwDolQ4S4KNOPRUAc_E_jyO63f2zR-dlDdJN6uoyB0h37r8Mh3RF9L-goNG5rLMbZ3eDc0kpTZbmkoRycVxVp-nVZByHZ3hdNAApKm3LIb2QBr1cMzZbF0lLburPPHCgFHWsM5CovUs8QHzNTNQm8xqgB9cuW0NEGHs85oFI1vUtWktkI8_5bFWVwBwJ1qcK8HACNNdoFiUOX8.rAbfAapj7BflULUiYIdIOb_gOxiK7k-biXjWUS3QJaI&dib_tag=se&keywords=laptop&qid=1787581921&sr=8-5,NO,NO,NO,NO,N/A,FAILED,WAF_BOT_CHALLENGE
mercadolivre-br,Mercadolibre,Brazil,https://lista.mercadolivre.com.br/informatica/portateis-acessorios/acessorios-notebook/#menu=categories,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
reliancedigital-in,Reliancedigital,India,https://www.reliancedigital.in/collection/acer-laptops-290525/?internal_source=hp&internal_medium=tile-banner&internal_campaign=acer-laptops&is_available=true,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
walmart-us,Walmart,United States,https://www.walmart.com/browse/as-low-as-0%25-apr-on-laptops/0/0/?_refineresult=true&_be_shelf_id=5072263&search_sort=100&facet=shelf_id:5072263&athAsset=eyJhdGhjcGlkIjoiOWE3NjUzYmMtMGUzMC00YWUyLWJiZjEtMDU0YmFjZjYyNTkzIiwiYWVjdSI6eyJzIjoxLjAsInN0IjoiMCJ9LCJhZXdyIjoiQ1RSIn0=&athena=true,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
